date,gas,eua,electricity.base,electricity.peak
2022-02-14,77.17,91.49,178,194.77
2022-02-15,83.222,89.91,195.76,223.21
2022-02-16,75.768,89.24,183.09,199.97
2022-02-17,71.268,85.85,140.54,152.81
2022-02-18,74.393,88.65,134.35,148.16
2022-02-21,73.394,88.92,115.74,135.6
2022-02-22,74.349,89.23,137.63,152.62
2022-02-23,80.074,94.43,147.91,159.41
2022-02-24,87.556,86.72,140.92,145.78
2022-02-25,126.425,87.33,166.4,180.94
2022-02-28,99.336,82.27,246.53,271.07
2022-03-01,106.493,69.38,251.94,271.45
2022-03-02,118.396,67.5,278.64,290.63
2022-03-03,167.857,66.74,340,339.46
2022-03-04,164.327,65.5,367.45,375.23
2022-03-07,191.324,57.95,426.36,443.13
2022-03-08,251.728,68.04,555.45,599.12
2022-03-09,213.614,71.85,474.03,488.87
2022-03-10,164.828,74.2,365.05,398.86
2022-03-11,137.998,76.38,299.02,353.24
2022-03-14,128.652,77.05,289.11,309.4
2022-03-15,117.543,77.54,301.84,325.41
2022-03-16,117.958,78.31,270.56,283.24
2022-03-17,107.905,79.37,246.85,271.26
2022-03-18,105.834,78.16,235.48,245.2
2022-03-21,102.104,78.82,223.08,241.5
2022-03-22,98.281,80.06,238,238.58
2022-03-23,96.746,76.02,238.38,237.88
2022-03-24,108.984,78.45,240.54,240.32
2022-03-25,113.743,78.49,252.17,243.6
2022-03-28,102.842,80.25,252.32,264.43
2022-03-29,102.563,81.15,275.69,300
2022-03-30,110.624,78.25,227.57,240.45
2022-03-31,120.08,76.82,190.47,208.82
2022-04-01,121.843,78.06,196.1,204.25
2022-04-04,120.889,78.7,217.33,262.09
2022-04-05,112.653,78.22,168.38,169.75
2022-04-06,110.486,77.12,140.18,161.72
2022-04-07,109.632,79.73,152.49,175.56
2022-04-08,105.866,79.78,116.54,107.94
2022-04-11,108.41,77.6,203.39,202.26
2022-04-12,105.197,78.69,226.72,229.76
2022-04-13,106.395,77.69,227.76,222.53
2022-04-19,100.812,79.93,207.58,205.43
2022-04-20,98.183,86.69,201.58,201.82
2022-04-21,100.892,86.25,203.6,214.09
2022-04-22,101.062,88.48,142.42,150.17
2022-04-25,97.678,83.43,241.34,242.54
2022-04-26,99.673,81.59,222.21,221.56
2022-04-27,95.927,80.85,230.16,226.63
2022-04-28,109.391,83.1,228.06,226.88
2022-04-29,103.602,83.27,201.83,193.54
2022-05-02,101.059,82.59,218.25,218.14
2022-05-03,101.451,87.97,232.18,230.14
2022-05-04,100.221,87.51,235.18,234.57
2022-05-05,104.524,88.5,225.36,217.03
2022-05-06,103.984,91.31,201.43,189.59
2022-05-09,98.472,86.34,201.16,193.08
2022-05-10,93.622,87.09,189.69,177.7
2022-05-11,90.421,88.69,177.32,165.17
2022-05-12,92.864,87.75,194.82,180.64
2022-05-13,103.25,88.07,166.89,142.29
2022-05-16,94.699,89.78,226.31,228.52
2022-05-18,95.657,84.25,210.85,209.4
2022-05-19,97.003,82.61,208.7,207.89
2022-05-20,94.125,79.93,119.23,85.52
2022-05-23,89.194,77.49,172.86,183.32
2022-05-24,82.917,80.5,179.89,169.69
2022-05-25,84.882,81.11,92.06,60.44
2022-05-27,85.407,83.54,71.55,75.56
2022-05-30,85.731,82.81,210.35,206.82
2022-05-31,90.886,83.6,218.11,213.67
2022-06-01,92.871,85.91,194.26,190.74
2022-06-02,84.2,85.8,186.22,183.78
2022-06-03,84.2,86.69,171.37,167.91
2022-06-07,81.197,80.55,191.13,194.85
2022-06-08,80.184,79.92,188.88,188.73
2022-06-09,79.202,80.74,185.58,178.63
2022-06-10,85.519,82.08,138.74,97.74
2022-06-13,83.262,81.44,200.48,198.9
2022-06-14,83.298,83.68,214.55,214.22
2022-06-15,93.376,85.97,204.8,184.01
2022-06-16,106.397,82.77,256.46,246.75
2022-06-17,136.408,81.82,213.43,187.29
2022-06-20,122.058,83.61,314.63,323.96
2022-06-21,124.004,84.18,343.94,357.89
2022-06-22,125.56,81.33,312.96,322.18
2022-06-23,129.5,83.73,282.17,290.9
2022-06-24,135.821,83.31,250.26,240.97
2022-06-27,134.73,84.11,362.16,390.75
2022-06-28,134.998,87.6,334.59,358.97
2022-06-29,133.647,88.19,347.63,369.15
2022-06-30,143.166,89,334.18,342.39
2022-07-01,154.698,85.65,255.68,236.2
2022-07-04,151.29,84.28,353.74,358.67
2022-07-05,167.973,82.35,347.33,347.35
2022-07-06,178.464,83.29,310.71,336.32
2022-07-07,172.13,84.03,303.83,297.15
2022-07-08,187.816,82.33,174.24,132.1
2022-07-11,183.198,83.95,396.77,389.06
2022-07-12,174.084,85.59,377.99,367.24
2022-07-13,177.646,83.28,391.15,388.11
2022-07-14,186.253,83.37,384.28,397.29
2022-07-15,181.846,84.86,294.52,265.46
2022-07-18,168.345,83.98,444.49,478.34
2022-07-19,164.516,82.95,419.4,449.18
2022-07-20,166.092,78.66,451.62,471.32
2022-07-21,163.671,77.75,436.81,455.94
2022-07-22,155.383,75.8,364.86,366.86
2022-07-25,166.24,75.97,443.04,483.03
2022-07-26,173.496,76.34,465.78,487.75
2022-07-27,201.429,75.93,497.53,520.72
2022-07-28,215.618,78.37,477.14,506.88
2022-07-29,208.851,78.29,407.76,393.52
2022-08-01,195.614,80.26,452.83,466.4
2022-08-02,202.908,81.43,427.55,433.65
2022-08-03,207.222,83.38,427.77,426.57
2022-08-04,205.142,83.98,413.31,426.47
2022-08-05,199.04,84.67,306.61,288.8
2022-08-08,197.058,83.96,355.93,355.21
2022-08-09,196.098,85.06,342.35,340.72
2022-08-10,190.913,85.54,380.99,387.31
2022-08-11,204.014,86.75,444.47,441.17
2022-08-12,210.763,88.66,412.89,409.99
2022-08-15,204.15,90.27,490.79,479
2022-08-16,213.832,92.04,555.13,575.33
2022-08-17,236.197,95.94,562.54,589.55
2022-08-18,230.857,96.04,516.9,530.79
2022-08-19,235.013,97.95,470.45,451.48
2022-08-22,244.346,92.6,615.75,638.45
2022-08-23,281.994,89.46,635.52,653.28
2022-08-24,269.748,89.21,628.56,657.53
2022-08-25,285.725,88.09,707.23,746.56
2022-08-26,311.898,89.94,647.86,665.1
2022-08-29,312.569,85.76,725.98,787.35
2022-08-30,311.47,80.87,673.28,747.76
2022-08-31,263.882,80.17,620.19,673.61
2022-09-01,246.705,80.54,498.05,555.76
2022-09-02,230.458,77.45,383.15,412.22
2022-09-05,193.58,73.47,516.45,555.67
2022-09-06,240.494,69.15,476.99,495.71
2022-09-07,215.878,68.98,461.02,473.18
2022-09-08,221.602,66.85,362.6,391.6
2022-09-09,199.879,65.68,404.32,410.18
2022-09-12,195.057,71.62,421.18,453.67
2022-09-13,187.59,69.83,455.47,506.85
2022-09-14,190.308,71.65,397.7,426.79
2022-09-15,210.919,71.63,365.48,420.12
2022-09-16,212.552,72.77,294.04,323.4
2022-09-19,168.475,70.06,364.98,389.88
2022-09-20,166.008,70.68,380.96,394.26
2022-09-21,171.024,69.55,399.17,405.81
2022-09-22,186.128,69.65,362.04,367.04
2022-09-23,177.862,65.75,344.43,349.83
2022-09-26,169.054,69.68,312.91,350.21
2022-09-27,166.843,67.81,385.71,423.74
2022-09-29,199.456,65.42,349.22,366.95
2022-09-30,183.523,65.96,189.1,205.03
2022-10-03,162.87,65.65,277.37,303.27
2022-10-04,138.182,67.15,189.92,212.15
2022-10-05,112.452,66.67,202.34,219.17
2022-10-06,97.515,68.82,186.93,185.84
2022-10-07,128.986,68.46,187.9,197.66
2022-10-10,126.656,66.72,265.49,296.65
